No,カテゴリ,ブランド,商品名,数量,単価,小計,備考
1,コスメ,ディオール,バックステージグロウ フェイスパレット,2,,,
2,コスメ,ディオール,リップバーム,3,,,
3,コスメ,ディオール,チューブグロス,2,,,
4,コスメ,エスティローダー,クリスマスメイクアップコレクション,1,,,
5,アクセサリー,スワロフスキー,ネックレス（ゴールド）,1,,,
6,アクセサリー,スワロフスキー,ネックレス（シルバー）,1,,,
7,インテリア,バカラ,2026年グラス,1,,,
8,インテリア,エブール,ロッソノービレ ルームフレグランス,1,,,
9,インテリア,MOMA,スリッパ,2,,,
10,インテリア,,時計スタンド,1,,,
11,レザーグッズ,ボナベンチュラ,トレイ,1,,,
12,レザーグッズ,ボナベンチュラ,名刺入れ,1,,,
13,レザーグッズ,ボナベンチュラ,ペンケース,1,,,
14,バッグ,,バッグ（小）,1,,,
15,バッグ,,バッグ（中）,1,,,
16,ビューティー,リファ,ヘアセット（ブラシ・シャンプー・リンス）,2,,,
17,ビューティー,フレーバーライフ,ラベンダーカモミールくつろぎセット,4,,,
18,ファッション,ラルフローレン,ニット帽マフラーセット,2,,,
19,ゴルフ,マーク&ロナ,ゴルフボールマーカー,2,,,
20,スイーツ,ゴディバ,チョコレートコレクション,5,,,
21,スイーツ,萩月,おかき詰め合わせ,5,,,
22,ドリンク,スターバックス,オリガミ ホリデースペシャル,5,,,
23,ドリンク,ヴーヴクリコ,イエローラベル,2,,,
24,ドリンク,ドンペリニヨン,ヴィンテージ2015,1,,,
25,ドリンク,サントリー,プレミアムモルツ,2,,,郵送
26,グルメ,伊藤,サーロインステーキ,1,,,郵送
